,feature,size
74,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '<', '1972', 'ci.person_id', '<', '384907', 'ci.role_id', '<', '4']",4420864.0
75,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 'mc.company_id', '=', '214176', 'mi_idx.info_type_id', '>', '99']",2.0
76,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 't.production_year', '=', '1994', 'ci.person_id', '<', '1163089', 'ci.role_id', '=', '3']",28599.0
77,"['mc.company_id', '=', '1404', 'mc.company_type_id', '>', '1']",176.0
78,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mk.movie_id', 'mk.keyword_id', '=', '6920']",252.0
79,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '>', '1', 't.production_year', '>', '1964', 'mi.info_type_id', '>', '16']",4810411.0
80,"['mk.keyword_id', '>', '80873']",106389.0
81,"['t.id', '=', 'mk.movie_id', 'mk.keyword_id', '>', '16732']",1055562.0
82,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '>', '2', 'mc.company_type_id', '=', '1']",5436081.0
83,"['t.id', '=', 'mi_idx.movie_id', 't.production_year', '>', '1945', 'mi_idx.info_type_id', '=', '100']",436008.0
84,"['t.id', '=', 'mc.movie_id', 't.production_year', '<', '1969', 'mc.company_id', '=', '11203', 'mc.company_type_id', '=', '1']",6057.0
85,"['ci.person_id', '<', '404153', 'ci.role_id', '>', '10']",15506.0
86,"['t.id', '=', 'mc.movie_id', 'mc.company_id', '<', '6893', 'mc.company_type_id', '=', '2']",336523.0
87,"['ci.person_id', '>', '2727175', 'ci.role_id', '>', '2']",9843538.0
88,"['t.id', '=', 'mc.movie_id', 'mc.company_id', '<', '42528', 'mc.company_type_id', '=', '2']",655559.0
89,"['t.id', '=', 'ci.movie_id', 'ci.person_id', '<', '810510']",8280353.0
90,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '<', '1958', 'mi.info_type_id', '=', '3', 'mi_idx.info_type_id', '<', '101']",146874.0
91,"['t.id', '=', 'ci.movie_id', 't.kind_id', '=', '7', 't.production_year', '<', '1920']",2.0
92,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '=', '7', 't.production_year', '=', '2009', 'mi_idx.info_type_id', '<', '101', 'mk.keyword_id', '<', '5457']",25108.0
93,"['mc.company_id', '<', '55144']",1960663.0
94,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 't.kind_id', '=', '1', 't.production_year', '<', '1957', 'mc.company_id', '<', '13614', 'mc.company_type_id', '>', '1', 'ci.role_id', '=', '1']",328696.0
95,"['t.id', '=', 'mc.movie_id', 't.kind_id', '=', '7', 't.production_year', '=', '2009', 'mc.company_id', '>', '424']",23113.0
96,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '2013', 'mc.company_id', '>', '17460']",34703.0
97,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '2009', 'mi_idx.info_type_id', '=', '99']",2749564.0
98,"['t.id', '=', 'mc.movie_id', 't.production_year', '<', '2004', 'mc.company_id', '<', '6']",888.0
99,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '1997', 'mi.info_type_id', '>', '3']",29478754.0
100,"['mk.keyword_id', '<', '10720']",3012950.0
101,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '1998', 'mk.keyword_id', '=', '26334']",11691.0
102,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '1997']",1476211.0
103,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '=', '2007', 'mi.info_type_id', '=', '108']",3567.0
104,"['mc.company_id', '<', '97', 'mc.company_type_id', '=', '1']",184656.0
105,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '<', '1979', 'ci.role_id', '=', '1', 'mi_idx.info_type_id', '=', '101']",1186570.0
106,"['t.id', '=', 'mk.movie_id', 't.production_year', '>', '0', 'mk.keyword_id', '>', '2847']",2766899.0
107,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '=', '7', 't.production_year', '=', '1962', 'mc.company_type_id', '<', '2']",3609.0
108,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '=', '7', 'ci.role_id', '=', '3', 'mi_idx.info_type_id', '<', '101']",1652476.0
109,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 'ci.person_id', '=', '217330', 'ci.role_id', '<', '2']",8.0
110,"['t.id', '=', 'ci.movie_id', 'ci.person_id', '<', '2572159', 'ci.role_id', '>', '2']",5838388.0
111,"['mc.company_id', '>', '2281']",1763493.0
112,"['t.id', '=', 'ci.movie_id', 'ci.person_id', '=', '1924581']",75.0
113,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '=', '1', 't.production_year', '<', '1999']",140276197.0
114,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '=', '7', 'mi.info_type_id', '=', '7', 'mk.keyword_id', '>', '3658']",270595.0
115,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.production_year', '<', '2011', 'ci.person_id', '=', '2374252', 'ci.role_id', '<', '10']",6674.0
116,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 't.production_year', '>', '2012', 'mc.company_id', '<', '240']",170546.0
117,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '<', '2003', 'mi.info_type_id', '<', '16', 'mi_idx.info_type_id', '<', '100']",2671316.0
118,"['t.id', '=', 'mi.movie_id', 't.production_year', '>', '1928']",13563381.0
119,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '>', '2008', 'mk.keyword_id', '<', '39796']",27438866.0
120,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 't.production_year', '>', '1983']",48625617.0
121,"['t.id', '=', 'mk.movie_id', 't.production_year', '=', '2012', 'mk.keyword_id', '=', '927']",33.0
122,"['t.id', '=', 'mk.movie_id', 't.production_year', '<', '1902', 'mk.keyword_id', '<', '41083']",2738.0
123,"['t.id', '=', 'mc.movie_id', 't.kind_id', '=', '1', 't.production_year', '>', '2007', 'mc.company_id', '>', '120462']",52652.0
124,"['t.id', '=', 'ci.movie_id', 'ci.person_id', '<', '271075', 'ci.role_id', '<', '2']",2021015.0
125,"['t.id', '=', 'ci.movie_id', 't.production_year', '>', '2010', 'ci.person_id', '=', '2377335']",502.0
126,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '=', '2002', 'ci.person_id', '<', '2355738', 'ci.role_id', '=', '1']",401780.0
127,"['t.id', '=', 'ci.movie_id', 'ci.person_id', '=', '3876052']",1.0
128,"['ci.person_id', '>', '52896']",35776426.0
129,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '<', '2010', 'mc.company_id', '<', '72155', 'mc.company_type_id', '=', '1', 'mi_idx.info_type_id', '>', '100']",683467.0
130,"['t.id', '=', 'mi.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '2012', 'mi.info_type_id', '>', '2']",8663816.0
131,"['mc.company_id', '>', '11804']",1237460.0
132,"['t.id', '=', 'mi.movie_id', 't.kind_id', '=', '7', 't.production_year', '>', '1983']",2912690.0
133,"['t.id', '=', 'mk.movie_id', 't.kind_id', '>', '4', 'mk.keyword_id', '<', '394']",69297.0
134,"['t.id', '=', 'mi_idx.movie_id', 't.id', '=', 'mk.movie_id', 'mk.keyword_id', '>', '20699']",2073378.0
135,"['t.id', '=', 'mk.movie_id', 'mk.keyword_id', '>', '127242']",7537.0
136,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mk.movie_id', 'mc.company_id', '>', '329', 'mc.company_type_id', '<', '2', 'mk.keyword_id', '=', '3262']",18932.0
137,"['t.id', '=', 'mk.movie_id', 't.kind_id', '=', '7', 't.production_year', '<', '2009', 'mk.keyword_id', '<', '53080']",442716.0
138,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 'ci.person_id', '>', '90656', 'ci.role_id', '<', '2']",75019056.0
139,"['mc.company_id', '>', '6036', 'mc.company_type_id', '=', '1']",549361.0
140,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '=', '1981']",292418.0
141,"['ci.person_id', '=', '3034430', 'ci.role_id', '=', '4']",3.0
142,"['t.id', '=', 'ci.movie_id', 't.production_year', '<', '1994', 'ci.person_id', '>', '2361204']",2972018.0
143,"['t.id', '=', 'mc.movie_id', 't.production_year', '<', '2012', 'mc.company_id', '>', '27']",2259474.0
144,"['mc.company_id', '=', '2023', 'mc.company_type_id', '<', '2']",157.0
145,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 'mc.company_id', '>', '12310', 'mc.company_type_id', '=', '2', 'ci.person_id', '=', '636710']",2.0
146,"['mk.keyword_id', '<', '7201']",2632845.0
147,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 'ci.person_id', '=', '1552867']",1720.0
148,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '=', '1989', 'mi_idx.info_type_id', '<', '100']",15345.0
149,"['t.id', '=', 'mc.movie_id', 't.kind_id', '=', '7', 't.production_year', '>', '2006', 'mc.company_id', '<', '24761']",171667.0
150,"['t.id', '=', 'ci.movie_id', 't.kind_id', '=', '7', 'ci.person_id', '<', '3018569', 'ci.role_id', '=', '3']",2456748.0
151,"['ci.person_id', '<', '3120989', 'ci.role_id', '>', '2']",10746382.0
152,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 'ci.person_id', '=', '2907357']",201.0
153,"['ci.person_id', '>', '1594789', 'ci.role_id', '>', '1']",19078435.0
154,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 't.kind_id', '=', '7', 't.production_year', '>', '2003', 'mc.company_id', '>', '89930', 'mc.company_type_id', '>', '1', 'ci.role_id', '=', '2']",5234.0
155,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '2', 't.production_year', '<', '2006', 'ci.person_id', '<', '2852068', 'ci.role_id', '=', '3', 'mi_idx.info_type_id', '=', '99']",184729.0
156,"['mc.company_id', '<', '13224']",1465342.0
157,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '=', '1', 'mi_idx.info_type_id', '<', '100']",4514712.0
158,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '<', '7', 'mi.info_type_id', '>', '2', 'mi_idx.info_type_id', '>', '101']",93336.0
159,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '>', '1967', 'mi.info_type_id', '=', '2']",3490029.0
160,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '1999', 'mc.company_type_id', '<', '2', 'mk.keyword_id', '<', '4392']",5649711.0
161,"['t.id', '=', 'mi.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '2010', 'mi.info_type_id', '=', '16']",154845.0
162,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 'ci.role_id', '>', '1', 'mi.info_type_id', '<', '6']",75517620.0
163,"['mk.keyword_id', '>', '4994']",2208682.0
164,"['mc.company_id', '=', '57093']",30.0
165,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '>', '1972']",35025668.0
166,"['t.id', '=', 'ci.movie_id', 'ci.person_id', '<', '1735449']",17528811.0
167,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 't.kind_id', '>', '4', 'ci.role_id', '>', '1']",16213350.0
168,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 'ci.person_id', '<', '3000328', 'ci.role_id', '>', '1', 'mi.info_type_id', '>', '17']",41687820.0
169,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 'mc.company_id', '<', '82790', 'mc.company_type_id', '<', '2', 'ci.person_id', '>', '62112', 'ci.role_id', '=', '8']",1174381.0
170,"['t.id', '=', 'mk.movie_id', 'mk.keyword_id', '=', '14472']",13.0
171,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '<', '7', 'mc.company_id', '<', '71059', 'mc.company_type_id', '<', '2', 'mi.info_type_id', '=', '4']",1085474.0
172,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 't.kind_id', '=', '7', 't.production_year', '>', '2012', 'ci.person_id', '<', '424522']",41422.0
173,"['ci.person_id', '<', '2341868', 'ci.role_id', '<', '9']",21727745.0
174,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '>', '2004', 'mk.keyword_id', '>', '958']",68251951.0
175,"['t.id', '=', 'ci.movie_id', 't.kind_id', '=', '7', 'ci.person_id', '>', '3302093', 'ci.role_id', '>', '1']",2519030.0
176,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.production_year', '>', '1986', 'mi.info_type_id', '>', '1']",337892478.0
177,"['mk.keyword_id', '>', '62609']",235321.0
178,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mi_idx.movie_id', 'mc.company_id', '=', '28841', 'mi_idx.info_type_id', '=', '101']",1.0
179,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 'mc.company_id', '<', '530', 'mc.company_type_id', '=', '2', 'ci.role_id', '<', '10']",2938292.0
180,"['t.id', '=', 'mk.movie_id', 'mk.keyword_id', '=', '6132']",306.0
181,"['t.id', '=', 'ci.movie_id', 't.production_year', '<', '2003', 'ci.person_id', '<', '1304902']",6606357.0
182,"['t.id', '=', 'ci.movie_id', 'ci.person_id', '<', '1614047', 'ci.role_id', '>', '1']",4545417.0
183,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.production_year', '=', '1959', 'mi.info_type_id', '>', '8', 'mi_idx.info_type_id', '>', '99']",34285.0
184,"['t.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '1998', 'mk.keyword_id', '=', '2860']",2467.0
185,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mi_idx.movie_id', 't.kind_id', '>', '1', 'mi.info_type_id', '<', '45']",6780480.0
186,"['mc.company_id', '=', '133418', 'mc.company_type_id', '=', '2']",3.0
187,"['t.id', '=', 'mi.movie_id', 't.kind_id', '=', '3', 't.production_year', '<', '2009']",685641.0
188,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 't.kind_id', '>', '1', 't.production_year', '<', '2004', 'ci.role_id', '>', '5']",3896484.0
189,"['t.id', '=', 'mi.movie_id', 't.production_year', '>', '1960']",12112151.0
190,"['mk.keyword_id', '>', '9563']",1600618.0
191,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 'mc.company_id', '<', '4317', 'mc.company_type_id', '=', '2']",1268270.0
192,"['ci.person_id', '=', '663421', 'ci.role_id', '<', '2']",599.0
193,"['t.kind_id', '>', '2', 't.production_year', '=', '2010']",104093.0
194,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '1981', 'mi.info_type_id', '>', '3']",61550334.0
195,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 't.production_year', '=', '2004', 'ci.person_id', '>', '3425373', 'ci.role_id', '>', '10']",14098.0
196,"['t.id', '=', 'mi_idx.movie_id', 't.production_year', '=', '2003', 'mi_idx.info_type_id', '>', '100']",15109.0
197,"['t.id', '=', 'mk.movie_id', 'mk.keyword_id', '<', '97477']",4469310.0
198,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 't.production_year', '<', '1992', 'mk.keyword_id', '<', '3644']",32743137.0
199,"['t.id', '=', 'mi_idx.movie_id', 't.kind_id', '=', '7', 't.production_year', '<', '1962']",17382.0
200,"['ci.person_id', '>', '3697309', 'ci.role_id', '>', '1']",1846237.0
201,"['t.id', '=', 'ci.movie_id', 'ci.person_id', '<', '1183950', 'ci.role_id', '>', '1']",3340682.0
202,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 't.kind_id', '<', '7', 'ci.person_id', '=', '1826028']",232.0
203,"['t.id', '=', 'mi.movie_id', 't.kind_id', '=', '2', 'mi.info_type_id', '=', '110']",17.0
204,"['t.id', '=', 'mk.movie_id', 'mk.keyword_id', '>', '10296']",1539290.0
205,"['t.id', '=', 'mc.movie_id', 't.id', '=', 'ci.movie_id', 't.kind_id', '<', '7', 't.production_year', '>', '2008', 'mc.company_type_id', '>', '1', 'ci.person_id', '>', '2319198', 'ci.role_id', '<', '4']",755236.0
206,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 'ci.person_id', '<', '2007111', 'ci.role_id', '<', '2', 'mk.keyword_id', '>', '1732']",57136554.0
207,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mk.movie_id', 't.production_year', '>', '2006', 'ci.role_id', '<', '10']",40288657.0
208,"['t.id', '=', 'mi.movie_id', 't.id', '=', 'mk.movie_id', 'mi.info_type_id', '>', '8', 'mk.keyword_id', '>', '398']",155322104.0
209,"['t.id', '=', 'ci.movie_id', 't.id', '=', 'mi.movie_id', 't.production_year', '<', '2009', 'ci.person_id', '>', '1171082', 'ci.role_id', '=', '3', 'mi.info_type_id', '<', '2']",818160.0
